client_id,first_name,last_name,age,gender,email,phone_number,address,city,province,postal_code,employment_status,income_bracket,account_type,account_open_date,avg_monthly_balance,avg_monthly_transactions,total_transaction_volume,loan_products,credit_card_usage_percent,num_overdrafts_last_6_months,missed_payments_last_12_months,online_banking_usage,products_owned,has_investment_account,has_mortgage,mortgage_balance,has_auto_loan,auto_loan_balance,age_group
10,Frederick,Barton,41,Male,yreyes@example.org,+1-767-414-8524x218,2664 William Parkways,Lopezshire,Newfoundland and Labrador,32132,Student,$60k–$100k,Joint,2016-12-20,3088,90,69257,No,59,2,0,Never,Mortgage;TFSA,Yes,Yes,239490,Yes,69887,35-44
11,Nicole,Baird,45,Other,stephaniethomas@example.net,+1-978-924-7343x2835,49394 Brandon Heights,New Chelsea,Quebec,10632,Retired,$30k–$60k,Chequing,2021-05-18,5206,35,45629,Yes,93,1,2,Weekly,TFSA;Credit Card,Yes,Yes,32098,Yes,95097,45-54
12,Laura,Gray,36,Male,josephkelley@example.net,(483)308-8190x81899,0695 Kimberly Stravenue Apt. 047,Andrewfort,Ontario,71529,Retired,<$30k,Business,2021-02-10,3354,45,5870,Yes,71,3,0,Weekly,Credit Card;TFSA,No,No,0,Yes,84763,35-44
13,Diana,Gonzalez,50,Other,vanessa08@example.net,(611)735-5238,789 Cochran Light,East Williamshire,Ontario,81686,Retired,<$30k,Chequing,2020-04-29,8972,66,61058,No,31,1,3,Rarely,TFSA;RRSP;Mortgage,Yes,Yes,444990,Yes,89348,45-54
14,Jeff,Guerrero,62,Female,omorgan@example.com,281.921.9210x02231,7291 Heather Ports,North Joy,Ontario,56944,Retired,<$30k,Savings,2021-06-20,1444,45,75051,No,11,2,3,Never,RRSP;Mortgage;Credit Card;TFSA,No,Yes,355311,Yes,92657,55+
15,Caitlin,Medina,20,Female,williamsthomas@example.net,001-982-605-8827x87723,2486 Wilson Heights,Connerview,Manitoba,93639,Unemployed,>$100k,Savings,2019-03-31,1231,30,70145,No,6,0,0,Rarely,TFSA;RRSP;Mortgage,No,No,0,No,0,18-24
16,Robert,Roberts,42,Other,jenniferwilliams@example.com,7885022724,818 Cynthia Streets,Adamstad,Ontario,48086,Unemployed,<$30k,Chequing,2025-03-07,2525,78,24609,Yes,40,4,3,Rarely,RRSP;TFSA;Credit Card;Mortgage,No,No,0,No,0,35-44
17,Rickey,Hill,72,Other,michele36@example.com,763.907.9998x0727,4968 Miller Square Suite 792,Johnsonchester,Quebec,73549,Employed,$30k–$60k,Savings,2022-12-23,4259,41,10372,No,32,3,0,Daily,Credit Card;RRSP,No,No,0,Yes,89413,55+
18,Donald,Smith,50,Male,frederickmelissa@example.net,979.410.4176x7223,16583 Mayer Center,East Sheilaton,Ontario,94769,Student,$30k–$60k,Chequing,2022-03-15,6688,27,98708,Yes,39,5,0,Daily,TFSA,Yes,No,0,Yes,42607,45-54
19,Monique,Ruiz,76,Female,brittneyherrera@example.com,253-576-1803x674,65350 Alejandra Valleys,North Erika,Alberta,66325,Employed,$30k–$60k,Joint,2017-02-06,5020,87,62428,Yes,67,2,1,Weekly,RRSP,Yes,Yes,10706,Yes,62906,55+
20,Wendy,Anderson,43,Male,charlesaudrey@example.net,506-366-2179x871,582 Davis Grove,West Kristy,Quebec,51793,Student,<$30k,Savings,2021-08-12,3952,40,1176,Yes,98,4,3,Daily,Mortgage;RRSP;Credit Card,No,No,0,Yes,77286,35-44
21,Cheryl,Gillespie,61,Male,jack35@example.org,343-555-3754x4246,9357 Megan Knoll Apt. 394,New Elizabethhaven,Quebec,79916,Unemployed,$30k–$60k,Chequing,2016-02-29,1677,34,33538,No,64,0,3,Rarely,TFSA,Yes,No,0,No,0,55+
22,Richard,Gonzalez,30,Male,brian47@example.net,790-971-8252x72823,8368 Lloyd Road,West Shelley,Ontario,25700,Student,>$100k,Chequing,2017-09-17,7494,46,28758,No,47,2,3,Never,Mortgage,No,No,0,No,0,25-34
23,Kayla,Robinson,55,Other,raymond53@example.org,238.702.5312,363 Sarah Ramp,Grantberg,British Columbia,43797,Employed,$60k–$100k,Joint,2022-06-21,4733,54,18417,Yes,89,1,2,Rarely,TFSA,Yes,Yes,130466,No,0,55+
24,Brian,Smith,58,Male,qhall@example.net,(773)655-3640x79980,54694 Danny Lodge,Moraberg,British Columbia,32792,Student,<$30k,Savings,2017-11-28,1490,65,49756,No,45,3,3,Rarely,TFSA,Yes,Yes,47885,Yes,93715,55+
25,Gabriel,Martinez,73,Other,johnburton@example.org,212.279.6280,9303 Zachary Ports,Lake Roy,Quebec,70825,Retired,<$30k,Business,2018-02-06,1587,73,85767,Yes,2,0,2,Rarely,Credit Card;RRSP;TFSA;Mortgage,Yes,No,0,No,0,55+
26,Kimberly,Guzman,18,Female,perezjonathan@example.org,944.369.4353x146,65849 Lisa Oval Suite 270,Katherinefort,Ontario,78459,Student,$60k–$100k,Chequing,2017-07-05,3356,21,63467,Yes,61,4,2,Never,TFSA;Mortgage;Credit Card;RRSP,Yes,Yes,382174,No,0,18-24
27,Monica,Thomas,22,Female,nashcatherine@example.org,415-977-3466x30451,2811 Bailey Gateway,Greenmouth,Ontario,12981,Employed,$30k–$60k,Chequing,2018-04-26,3227,16,98928,Yes,11,3,0,Never,Mortgage;RRSP,Yes,Yes,409377,No,0,18-24
28,Samuel,Richardson,51,Other,laurahooper@example.com,+1-715-774-5027x4321,9751 Jennifer Flats,Courtneymouth,Nova Scotia,98558,Unemployed,>$100k,Joint,2020-01-19,8301,25,49606,No,82,2,0,Daily,Mortgage;RRSP;TFSA;Credit Card,No,Yes,288931,No,0,45-54
29,Anne,Fernandez,21,Other,ashley48@example.net,+1-602-238-9925x628,5296 Webster Points,Wyattstad,Ontario,93756,Unemployed,$30k–$60k,Savings,2023-03-04,975,32,19936,Yes,100,5,3,Weekly,Mortgage;TFSA;RRSP,No,Yes,91783,Yes,14417,18-24
30,Matthew,Cox,49,Male,ntownsend@example.org,880.388.8065,45938 Parker Orchard Apt. 149,Debbieland,Alberta,39610,Retired,>$100k,Joint,2025-03-31,4498,65,71018,No,73,2,0,Rarely,TFSA,Yes,Yes,332035,Yes,44581,45-54
31,David,Lee,44,Other,donnahansen@example.net,(580)980-5422,821 Sheryl Hills Suite 043,West Jessicaberg,Quebec,74252,Student,<$30k,Chequing,2020-10-06,2633,61,28133,No,3,0,0,Weekly,TFSA;RRSP,Yes,No,0,No,0,35-44
32,Robert,Moon,34,Other,victorialopez@example.net,730.367.7180,749 Booker Glen,Ellismouth,Ontario,34838,Student,$60k–$100k,Chequing,2018-09-14,8669,20,43846,Yes,54,1,0,Weekly,TFSA;Mortgage;Credit Card,Yes,Yes,66683,No,0,25-34
33,Morgan,Hogan,63,Male,keithcolleen@example.net,297-203-7804x306,037 Brown Inlet Apt. 645,Bowersfurt,British Columbia,28787,Student,$60k–$100k,Joint,2018-11-16,4728,10,27569,No,54,2,0,Rarely,Mortgage;RRSP;TFSA,No,Yes,375714,Yes,81267,55+
34,Andrew,Cohen,54,Female,hernandezolivia@example.org,881-556-5206,100 Gonzales Loop,Danielleport,Quebec,14275,Unemployed,<$30k,Chequing,2018-08-01,8612,24,34724,Yes,57,3,2,Never,TFSA,No,No,0,Yes,16847,45-54
35,Ryan,Castro,34,Female,bmorton@example.org,(729)934-5927,504 Bishop Ferry Suite 913,Lisashire,Ontario,76493,Retired,>$100k,Savings,2020-06-08,5422,24,28180,No,81,2,3,Weekly,TFSA;Mortgage,Yes,No,0,Yes,31737,25-34
36,Jennifer,Davis,38,Male,savannahrobinson@example.net,(503)562-3342x2335,97924 Harrison Stravenue Apt. 550,East Curtis,Ontario,44955,Unemployed,$30k–$60k,Joint,2022-09-14,2635,17,94159,Yes,84,2,3,Rarely,RRSP;TFSA;Credit Card;Mortgage,No,Yes,51026,Yes,76213,35-44
37,Scott,Hall,72,Male,fwang@example.net,837-425-3593,60290 Jeremy Squares Suite 989,New Elizabeth,Ontario,33124,Unemployed,>$100k,Business,2021-03-18,5766,23,60384,Yes,20,2,2,Rarely,TFSA;Credit Card,No,No,0,Yes,37162,55+
38,Ronald,Owens,29,Female,elizabeth49@example.net,5466415763,6928 Griffin Ridge Apt. 584,Taylorstad,Ontario,3091,Unemployed,>$100k,Chequing,2025-04-03,2726,12,64434,Yes,58,3,2,Weekly,RRSP;TFSA;Mortgage,No,Yes,334567,Yes,66192,25-34
39,Anthony,Moore,54,Male,mariecarroll@example.org,001-925-847-4068x57453,492 Gonzalez Locks,Williamsshire,Ontario,48119,Employed,>$100k,Chequing,2016-07-16,1827,83,7815,Yes,97,2,0,Weekly,TFSA;Mortgage;RRSP,No,Yes,361273,No,0,45-54
40,Katherine,Miranda,27,Other,jennifer35@example.net,(666)782-9266,5666 Evelyn Place Suite 925,Odonnellport,Nova Scotia,60791,Unemployed,$30k–$60k,Savings,2017-12-15,4665,69,85624,No,54,4,3,Daily,TFSA;Mortgage;RRSP;Credit Card,Yes,No,0,No,0,25-34
41,Ruben,Rose,19,Female,andersoneric@example.com,832-651-0811x379,49494 Alexandria Valley Suite 998,Wallsview,Alberta,81701,Employed,<$30k,Chequing,2022-02-18,7851,36,15046,Yes,37,1,3,Weekly,Credit Card;TFSA;Mortgage;RRSP,Yes,Yes,386118,No,0,18-24
42,Jennifer,Nelson,67,Female,vmatthews@example.com,(980)423-9540,4763 Elizabeth Forks,North Holly,Ontario,90224,Unemployed,<$30k,Chequing,2024-09-17,4664,9,98924,Yes,85,3,3,Never,Mortgage,Yes,No,0,Yes,88263,55+
43,Ashley,Hall,80,Female,david28@example.com,713.289.0216,14096 Rodriguez Orchard Apt. 906,Port Alicia,British Columbia,63890,Retired,$30k–$60k,Chequing,2018-09-13,5002,17,67912,No,74,5,0,Daily,TFSA;RRSP,No,No,0,No,0,55+
44,Jeffrey,Clark,19,Female,vasquezcatherine@example.net,357.281.6904x41663,5765 Brown Burgs Suite 375,Doughertyton,Quebec,49594,Employed,$30k–$60k,Chequing,2025-04-15,1662,20,55925,Yes,56,0,0,Rarely,Credit Card,Yes,No,0,No,0,18-24
45,Destiny,Guerrero,80,Other,brian50@example.com,+1-790-992-4518x0377,890 Dana Squares,West Lindaburgh,Alberta,47073,Unemployed,<$30k,Savings,2023-12-21,3518,23,71057,Yes,17,3,2,Daily,Mortgage,No,Yes,406741,No,0,55+
46,Christina,Roth,55,Female,jessica33@example.org,6833899058,573 Thomas Curve,North Jerry,Ontario,94206,Student,$30k–$60k,Chequing,2016-10-02,2809,38,75325,No,60,2,1,Weekly,Credit Card;TFSA;RRSP;Mortgage,No,No,0,Yes,75383,55+
47,Larry,Logan,54,Male,jennifer84@example.org,+1-459-428-5007x10448,7781 Potter Rapids,Kelseyfurt,Ontario,93857,Retired,<$30k,Joint,2018-04-06,9912,50,97248,Yes,12,4,1,Rarely,TFSA;Credit Card,Yes,No,0,No,0,45-54
48,Frank,Schmidt,28,Female,dsmith@example.org,+1-475-806-8917x9213,257 Julie Spur,Nancyburgh,Ontario,68718,Retired,$30k–$60k,Chequing,2021-02-27,4776,89,93127,No,76,3,3,Never,TFSA;Credit Card;RRSP;Mortgage,Yes,No,0,No,0,25-34
49,Emily,Lopez,80,Other,zpitts@example.org,9806584503,361 Michelle Canyon Apt. 838,East Nicholasmouth,Nova Scotia,59445,Student,<$30k,Chequing,2023-09-23,2173,47,3791,No,50,4,2,Daily,RRSP;Credit Card;Mortgage;TFSA,Yes,No,0,Yes,55889,55+
50,Melissa,Flores,70,Female,davidlynn@example.net,+1-463-658-5626x70917,6184 Morales Spur Apt. 059,New Andrew,Saskatchewan,64704,Unemployed,<$30k,Chequing,2024-05-03,8784,68,14450,No,38,4,1,Weekly,Credit Card;RRSP,No,Yes,134955,Yes,79232,55+
51,Robert,Nielsen,39,Male,hclark@example.com,966-428-6996,272 Cody Port,Port Johnbury,Manitoba,98736,Retired,$60k–$100k,Savings,2023-09-06,9771,32,64433,Yes,45,4,0,Daily,Mortgage;RRSP;TFSA,Yes,Yes,408237,Yes,36078,35-44
52,Holly,Fuller,25,Other,garzamatthew@example.net,+1-630-523-5054x8085,63844 Simmons Pass Suite 555,Brandibury,Saskatchewan,6005,Unemployed,<$30k,Chequing,2025-01-20,5246,90,55606,Yes,58,0,2,Daily,Mortgage;RRSP,No,Yes,266911,No,0,25-34
53,Robert,Flores,46,Female,danielsjoseph@example.com,(653)806-9468,170 Edwards Fork Apt. 014,Kingville,Quebec,65848,Retired,<$30k,Chequing,2016-12-19,2831,89,85371,No,47,5,2,Never,TFSA;Mortgage;RRSP,Yes,Yes,91826,No,0,45-54
54,Justin,Castillo,18,Female,qstephens@example.com,001-695-597-2886,1206 Robyn Coves Suite 487,Christopherbury,Quebec,72558,Unemployed,<$30k,Chequing,2016-06-07,6273,47,49534,No,11,4,2,Daily,RRSP;Credit Card;Mortgage;TFSA,Yes,Yes,420878,No,0,18-24
55,John,Mitchell,33,Female,reesetaylor@example.org,+1-937-909-6866,900 Nelson Wall,Johnsonchester,Alberta,93467,Student,>$100k,Chequing,2016-07-01,1480,10,60029,No,42,2,3,Daily,Mortgage;RRSP;Credit Card,No,No,0,Yes,67172,25-34
56,Ronnie,Deleon,40,Female,jason02@example.org,736.777.8642x91933,6355 Smith Turnpike,West Tyler,Quebec,68185,Retired,>$100k,Savings,2025-04-25,6791,66,94226,No,26,2,2,Weekly,Mortgage;Credit Card;TFSA,No,No,0,Yes,20077,35-44
57,Ashley,Hunt,54,Male,cdavis@example.net,578-523-1919x27473,5852 Charles Walks Suite 344,South Frankfurt,Saskatchewan,55449,Unemployed,<$30k,Chequing,2015-10-25,6759,52,99073,No,30,0,1,Weekly,Mortgage;Credit Card;RRSP,No,Yes,392319,Yes,5581,45-54
58,Tina,Watkins,33,Other,uhenderson@example.org,259.630.7724x61384,44017 Sutton Cove,Valdezborough,Ontario,51256,Student,<$30k,Chequing,2023-03-31,6990,23,43396,No,95,2,2,Weekly,Credit Card;TFSA;Mortgage,Yes,Yes,106975,Yes,62106,25-34
59,Kevin,Russo,43,Male,gramos@example.org,705.680.2619,779 Tara Mountains,Olsonmouth,Ontario,22008,Unemployed,<$30k,Chequing,2023-12-21,6500,68,8248,No,95,0,1,Rarely,TFSA;RRSP;Mortgage,Yes,No,0,No,0,35-44
60,Debra,Foster,43,Male,mejiaryan@example.com,336-391-7157,13917 Calderon Trafficway Apt. 479,North Jose,Ontario,31092,Unemployed,<$30k,Chequing,2017-07-15,8066,60,82514,Yes,22,1,0,Daily,Mortgage;RRSP,Yes,No,0,Yes,79203,35-44
61,Charles,George,20,Male,kbaird@example.net,(611)583-7165x878,6973 Crystal Turnpike Suite 120,South Brittney,British Columbia,34684,Student,$60k–$100k,Chequing,2016-11-21,4436,5,18514,Yes,59,3,3,Daily,Mortgage;Credit Card;TFSA;RRSP,No,No,0,No,0,18-24
62,Ana,Sheppard,18,Other,nicoleadams@example.com,(555)795-1462x8007,501 Foster Meadows,Rodriguezfurt,British Columbia,30664,Employed,$60k–$100k,Savings,2016-06-08,6624,61,47443,No,54,4,1,Daily,Credit Card;Mortgage;TFSA,Yes,No,0,No,0,18-24
63,Jordan,Heath,37,Female,ginagonzalez@example.net,(494)758-8675,09773 Barrett Light Apt. 116,Houseside,Alberta,33439,Student,$30k–$60k,Chequing,2018-10-11,8321,44,24762,Yes,11,1,0,Weekly,RRSP;Credit Card;Mortgage,Yes,No,0,No,0,35-44
64,Terri,Scott,45,Male,malloryle@example.com,210-510-1405x2549,136 Gloria Cliff,Port Kristinaborough,Saskatchewan,37103,Employed,>$100k,Chequing,2021-05-29,957,36,26056,Yes,92,4,2,Daily,Mortgage;RRSP;TFSA;Credit Card,Yes,Yes,286494,Yes,12405,45-54
65,Jennifer,Flores,34,Other,matthewbarber@example.net,407.618.5204x78867,20060 Greer Dam Apt. 339,Bishopchester,Saskatchewan,91703,Employed,>$100k,Business,2021-07-05,3809,64,76510,Yes,9,3,1,Daily,Credit Card;Mortgage;TFSA;RRSP,Yes,Yes,107618,No,0,25-34
66,Dustin,Turner,73,Other,mcmahondavid@example.org,263-267-1645,814 Hill Row,West Steven,Ontario,58314,Unemployed,$60k–$100k,Savings,2022-02-25,5741,23,92033,No,9,0,2,Weekly,Credit Card,Yes,No,0,No,0,55+
67,Keith,Holland,62,Male,nashmary@example.org,001-647-372-6421x688,540 Laura Port,Kathleenside,Alberta,29614,Employed,$60k–$100k,Savings,2023-01-23,5474,67,27044,Yes,72,2,1,Rarely,RRSP,No,No,0,Yes,7970,55+
68,William,Nunez,18,Female,davidfischer@example.net,(949)201-7606,18697 Brown Camp,Paulton,Quebec,25344,Retired,>$100k,Savings,2025-04-29,9542,14,47811,Yes,53,1,3,Weekly,Credit Card,Yes,No,0,No,0,18-24
69,Colleen,Waters,59,Other,gregory92@example.org,980.630.4791x95899,843 Wells Village,New Gavinhaven,Alberta,28582,Employed,<$30k,Chequing,2022-11-21,2230,54,99289,Yes,65,0,0,Never,RRSP,No,No,0,Yes,16581,55+
70,Tom,Tran,49,Female,traci64@example.net,+1-930-270-0848x548,985 Steven Ford Apt. 392,Amandaborough,British Columbia,6815,Employed,$60k–$100k,Joint,2019-04-30,9793,26,68139,No,15,2,1,Weekly,RRSP;TFSA;Credit Card;Mortgage,Yes,Yes,378768,Yes,21272,45-54
71,Sharon,Brown,69,Female,zbarnes@example.com,447.547.2938x508,51427 Joshua Land,Olsenview,Nova Scotia,31660,Retired,<$30k,Chequing,2022-06-20,5231,13,29475,No,48,4,3,Weekly,RRSP;TFSA;Mortgage;Credit Card,Yes,No,0,No,0,55+
72,John,Murphy,54,Female,michele09@example.net,001-227-466-8645x22778,8731 King Forges,West Sarahton,British Columbia,83089,Retired,<$30k,Savings,2022-11-24,9354,54,23227,Yes,6,5,1,Weekly,RRSP;Mortgage;Credit Card,Yes,Yes,25857,Yes,66273,45-54
73,Kimberly,Walker,34,Other,brandon63@example.org,+1-601-728-5261x272,280 David Forest Suite 769,South Oliviamouth,Ontario,76894,Student,>$100k,Chequing,2020-09-24,4860,66,80776,No,40,4,2,Weekly,TFSA,No,Yes,354969,No,0,25-34
74,James,Nichols,35,Female,wlee@example.net,9226954762,30866 Morris Square Suite 962,West Eric,Ontario,32592,Student,>$100k,Joint,2019-08-08,1174,73,71059,No,28,3,2,Weekly,TFSA;Mortgage;RRSP;Credit Card,No,No,0,No,0,35-44
75,Devin,Ingram,38,Female,leelaura@example.com,746.326.8834x15459,022 Alicia Mountains,New Elizabethfurt,Ontario,15007,Student,<$30k,Savings,2022-07-26,4050,26,71128,Yes,12,0,1,Rarely,Credit Card,No,Yes,37894,Yes,83760,35-44
76,Raymond,Moon,19,Other,iconner@example.com,802.651.1196x31637,15469 Robin Lodge Apt. 615,New Heather,Ontario,61231,Retired,<$30k,Savings,2019-09-05,9294,26,80555,Yes,0,0,2,Never,Credit Card;TFSA;Mortgage;RRSP,No,No,0,No,0,18-24
77,Lori,King,79,Other,csmith@example.net,+1-711-472-6816x80040,1276 April Knoll Suite 997,Johnsonchester,Prince Edward Island,28624,Unemployed,>$100k,Chequing,2017-12-03,4347,80,14411,Yes,14,5,2,Weekly,Mortgage;Credit Card,Yes,Yes,333426,No,0,55+
78,Natalie,Johnson,79,Female,xvargas@example.com,7556730249,80812 Rachel Plaza Apt. 533,Wandaberg,Ontario,92378,Employed,$30k–$60k,Joint,2018-09-06,6568,19,86108,No,86,5,1,Daily,TFSA;Mortgage;Credit Card;RRSP,Yes,Yes,161619,Yes,39672,55+
79,Manuel,Thornton,48,Female,anthonyhuffman@example.net,001-389-913-7539x8321,82771 Daniel Highway Suite 167,Johnfurt,Quebec,60379,Retired,>$100k,Chequing,2018-12-12,3059,59,8259,Yes,83,1,3,Daily,Credit Card,No,No,0,Yes,75929,45-54
80,Andre,Chapman,34,Male,kenneth71@example.net,001-423-874-7562,7319 Nelson Cliff,Dianaberg,Ontario,37942,Retired,>$100k,Chequing,2024-12-02,7840,12,37100,No,5,5,2,Daily,RRSP;TFSA;Credit Card,Yes,No,0,Yes,67455,25-34
81,Robert,Carney,20,Male,luis41@example.org,+1-609-367-8793x1303,35629 Steven Neck Suite 026,Nunezville,New Brunswick,20604,Student,$30k–$60k,Chequing,2018-06-27,3307,69,69389,No,79,3,2,Rarely,Credit Card,No,No,0,No,0,18-24
82,Richard,Morrison,35,Female,loganjulie@example.org,438-341-2383x0749,08362 David Vista,New Christopher,Ontario,60504,Employed,$30k–$60k,Chequing,2021-12-28,1708,71,29336,No,63,0,0,Weekly,Credit Card;RRSP;TFSA,No,No,0,No,0,35-44
83,Erik,Gonzalez,31,Other,dwayne42@example.com,579.812.6448x83211,4717 Steven Drive Suite 056,Tanyachester,Ontario,35577,Employed,>$100k,Business,2015-07-14,4752,99,51485,Yes,12,1,1,Daily,TFSA;Mortgage;RRSP,No,Yes,250038,Yes,92429,25-34
84,Jacob,Robinson,52,Female,richmondryan@example.org,649-722-3081,3408 English Village,East Cindy,British Columbia,957,Retired,<$30k,Savings,2024-08-23,2236,38,29710,Yes,12,4,0,Daily,TFSA;Mortgage;RRSP,No,No,0,No,0,45-54
85,Meagan,Rodriguez,64,Female,mark59@example.org,001-975-709-9884x944,7518 Williams Well,Bryantown,Alberta,69326,Unemployed,$30k–$60k,Chequing,2022-12-12,3524,74,72123,No,67,0,2,Rarely,Credit Card;RRSP,Yes,No,0,Yes,62534,55+
86,Candace,Goodman,21,Other,walkerjennifer@example.com,581.555.1759,12546 Hill Avenue Suite 243,West Catherinebury,Ontario,72161,Student,<$30k,Chequing,2024-12-01,8129,17,10553,No,51,4,3,Weekly,Mortgage;TFSA;Credit Card,Yes,Yes,227975,No,0,18-24
87,Daniel,Scott,28,Other,thomasellis@example.net,001-605-452-6904x813,0949 Henderson Ford,North Christian,Alberta,93615,Student,>$100k,Chequing,2020-11-23,3767,36,58792,Yes,75,1,2,Daily,Mortgage;Credit Card;TFSA,No,No,0,Yes,30105,25-34
88,Rebecca,Smith,33,Male,ffernandez@example.net,001-932-891-2747x69901,443 Bell Greens Apt. 111,North Melissa,Ontario,27395,Retired,>$100k,Savings,2023-07-27,764,74,86802,Yes,18,4,1,Never,Credit Card;TFSA;Mortgage,Yes,Yes,321328,No,0,25-34
89,Linda,Reynolds,45,Other,martinezmichael@example.net,639-218-3639x2483,495 Erin Extension,West Danielview,Ontario,27012,Employed,>$100k,Joint,2023-08-02,4743,19,45667,No,34,3,0,Weekly,Credit Card;TFSA,Yes,No,0,No,0,45-54
90,Daniel,Greene,23,Male,mcampbell@example.org,+1-246-867-4196x7287,3552 Dawn Groves,New Benjaminmouth,Quebec,96663,Unemployed,$60k–$100k,Joint,2019-08-03,1936,80,28203,No,16,5,3,Daily,TFSA;Credit Card,Yes,Yes,213681,No,0,18-24
91,Lisa,Thomas,24,Female,danielletrujillo@example.org,+1-841-756-4116x264,1420 William Tunnel Suite 534,Lake Robertstad,Newfoundland and Labrador,80255,Retired,>$100k,Chequing,2022-06-08,7704,71,85073,Yes,70,5,0,Never,Mortgage,No,Yes,120934,Yes,38140,18-24
92,Joshua,Jones,33,Male,kevinodom@example.com,503-892-5963x57398,05850 William Manors,New Angela,Alberta,38790,Student,$60k–$100k,Chequing,2025-03-04,8561,13,23023,No,74,2,2,Never,TFSA;Credit Card;Mortgage;RRSP,Yes,No,0,Yes,96438,25-34
93,Michael,Miller,43,Female,jack51@example.com,001-533-285-4945x85051,83139 Nancy Terrace,Lake Jameschester,Saskatchewan,80727,Unemployed,$30k–$60k,Savings,2018-04-11,4612,85,59050,Yes,6,2,1,Never,TFSA;RRSP;Credit Card,No,Yes,171561,Yes,83848,35-44
94,Jennifer,Kramer,22,Male,nancy30@example.org,370.793.4036,42375 Barnes Creek,Port Miranda,Quebec,52890,Unemployed,<$30k,Savings,2022-12-20,8407,64,23364,Yes,61,2,3,Daily,Credit Card,No,No,0,Yes,63687,18-24
95,Emma,Thomas,55,Male,jonathanlloyd@example.org,727-684-1461,51736 Blake Divide Suite 992,Chavezmouth,Quebec,70063,Unemployed,$30k–$60k,Savings,2018-08-04,8875,48,76834,Yes,64,5,0,Never,Mortgage;TFSA;Credit Card;RRSP,No,No,0,Yes,98079,55+
96,Michelle,Mendoza,24,Other,scottwhite@example.org,001-231-928-5716,8953 Randolph Ports,Holtton,British Columbia,6464,Unemployed,$60k–$100k,Business,2024-12-12,1839,28,74826,No,90,0,1,Rarely,RRSP;Credit Card;Mortgage,No,Yes,402486,Yes,25999,18-24
