client_id,first_name,last_name,age,gender,email,phone_number,address,city,province,postal_code,employment_status,income_bracket,account_type,account_open_date,avg_monthly_balance,avg_monthly_transactions,total_transaction_volume,loan_products,credit_card_usage_percent,num_overdrafts_last_6_months,missed_payments_last_12_months,online_banking_usage,products_owned,has_investment_account,has_mortgage,mortgage_balance,has_auto_loan,auto_loan_balance
11,Nicole,Baird,45,Other,Stephaniethomas@Example.Net,+1-978-924-7343X2835,49394 Brandon Heights,New Chelsea,Quebec,10632,Retired,$30K–$60K,Chequing,2021-05-18,5206,35,45629,Yes,93,1,2,Weekly,Tfsa;Credit Card,Yes,Yes,32098,Yes,95097
12,Laura,Gray,36,Male,Josephkelley@Example.Net,(483)308-8190X81899,0695 Kimberly Stravenue Apt. 047,Andrewfort,Ontario,71529,Retired,<$30K,Business,2021-02-10,3354,45,5870,Yes,71,3,0,Weekly,Credit Card;Tfsa,No,No,0,Yes,84763
13,Diana,Gonzalez,50,Other,Vanessa08@Example.Net,(611)735-5238,789 Cochran Light,East Williamshire,Ontario,81686,Retired,<$30K,Chequing,2020-04-29,8972,66,61058,No,31,1,3,Rarely,Tfsa;Rrsp;Mortgage,Yes,Yes,444990,Yes,89348
14,Jeff,Guerrero,62,Female,Omorgan@Example.Com,281.921.9210X02231,7291 Heather Ports,North Joy,Ontario,56944,Retired,<$30K,Savings,2021-06-20,1444,45,75051,No,11,2,3,Never,Rrsp;Mortgage;Credit Card;Tfsa,No,Yes,355311,Yes,92657
15,Caitlin,Medina,20,Female,Williamsthomas@Example.Net,001-982-605-8827X87723,2486 Wilson Heights,Connerview,Manitoba,93639,Unemployed,>$100K,Savings,2019-03-31,1231,30,70145,No,6,0,0,Rarely,Tfsa;Rrsp;Mortgage,No,No,0,No,0
16,Robert,Roberts,42,Other,Jenniferwilliams@Example.Com,7885022724,818 Cynthia Streets,Adamstad,Ontario,48086,Unemployed,<$30K,Chequing,2025-03-07,2525,78,24609,Yes,40,4,3,Rarely,Rrsp;Tfsa;Credit Card;Mortgage,No,No,0,No,0
17,Rickey,Hill,72,Other,Michele36@Example.Com,763.907.9998X0727,4968 Miller Square Suite 792,Johnsonchester,Quebec,73549,Employed,$30K–$60K,Savings,2022-12-23,4259,41,10372,No,32,3,0,Daily,Credit Card;Rrsp,No,No,0,Yes,89413
18,Donald,Smith,50,Male,Frederickmelissa@Example.Net,979.410.4176X7223,16583 Mayer Center,East Sheilaton,Ontario,94769,Student,$30K–$60K,Chequing,2022-03-15,6688,27,98708,Yes,39,5,0,Daily,Tfsa,Yes,No,0,Yes,42607
19,Monique,Ruiz,76,Female,Brittneyherrera@Example.Com,253-576-1803X674,65350 Alejandra Valleys,North Erika,Alberta,66325,Employed,$30K–$60K,Joint,2017-02-06,5020,87,62428,Yes,67,2,1,Weekly,Rrsp,Yes,Yes,10706,Yes,62906
20,Wendy,Anderson,43,Male,Charlesaudrey@Example.Net,506-366-2179X871,582 Davis Grove,West Kristy,Quebec,51793,Student,<$30K,Savings,2021-08-12,3952,40,1176,Yes,98,4,3,Daily,Mortgage;Rrsp;Credit Card,No,No,0,Yes,77286
21,Cheryl,Gillespie,61,Male,Jack35@Example.Org,343-555-3754X4246,9357 Megan Knoll Apt. 394,New Elizabethhaven,Quebec,79916,Unemployed,$30K–$60K,Chequing,2016-02-29,1677,34,33538,No,64,0,3,Rarely,Tfsa,Yes,No,0,No,0
22,Richard,Gonzalez,30,Male,Brian47@Example.Net,790-971-8252X72823,8368 Lloyd Road,West Shelley,Ontario,25700,Student,>$100K,Chequing,2017-09-17,7494,46,28758,No,47,2,3,Never,Mortgage,No,No,0,No,0
23,Kayla,Robinson,55,Other,Raymond53@Example.Org,238.702.5312,363 Sarah Ramp,Grantberg,British Columbia,43797,Employed,$60K–$100K,Joint,2022-06-21,4733,54,18417,Yes,89,1,2,Rarely,Tfsa,Yes,Yes,130466,No,0
24,Brian,Smith,58,Male,Qhall@Example.Net,(773)655-3640X79980,54694 Danny Lodge,Moraberg,British Columbia,32792,Student,<$30K,Savings,2017-11-28,1490,65,49756,No,45,3,3,Rarely,Tfsa,Yes,Yes,47885,Yes,93715
25,Gabriel,Martinez,73,Other,Johnburton@Example.Org,212.279.6280,9303 Zachary Ports,Lake Roy,Quebec,70825,Retired,<$30K,Business,2018-02-06,1587,73,85767,Yes,2,0,2,Rarely,Credit Card;Rrsp;Tfsa;Mortgage,Yes,No,0,No,0
26,Kimberly,Guzman,18,Female,Perezjonathan@Example.Org,944.369.4353X146,65849 Lisa Oval Suite 270,Katherinefort,Ontario,78459,Student,$60K–$100K,Chequing,2017-07-05,3356,21,63467,Yes,61,4,2,Never,Tfsa;Mortgage;Credit Card;Rrsp,Yes,Yes,382174,No,0
27,Monica,Thomas,22,Female,Nashcatherine@Example.Org,415-977-3466X30451,2811 Bailey Gateway,Greenmouth,Ontario,12981,Employed,$30K–$60K,Chequing,2018-04-26,3227,16,98928,Yes,11,3,0,Never,Mortgage;Rrsp,Yes,Yes,409377,No,0
28,Samuel,Richardson,51,Other,Laurahooper@Example.Com,+1-715-774-5027X4321,9751 Jennifer Flats,Courtneymouth,Nova Scotia,98558,Unemployed,>$100K,Joint,2020-01-19,8301,25,49606,No,82,2,0,Daily,Mortgage;Rrsp;Tfsa;Credit Card,No,Yes,288931,No,0
29,Anne,Fernandez,21,Other,Ashley48@Example.Net,+1-602-238-9925X628,5296 Webster Points,Wyattstad,Ontario,93756,Unemployed,$30K–$60K,Savings,2023-03-04,975,32,19936,Yes,100,5,3,Weekly,Mortgage;Tfsa;Rrsp,No,Yes,91783,Yes,14417
30,Matthew,Cox,49,Male,Ntownsend@Example.Org,880.388.8065,45938 Parker Orchard Apt. 149,Debbieland,Alberta,39610,Retired,>$100K,Joint,2025-03-31,4498,65,71018,No,73,2,0,Rarely,Tfsa,Yes,Yes,332035,Yes,44581
31,David,Lee,44,Other,Donnahansen@Example.Net,(580)980-5422,821 Sheryl Hills Suite 043,West Jessicaberg,Quebec,74252,Student,<$30K,Chequing,2020-10-06,2633,61,28133,No,3,0,0,Weekly,Tfsa;Rrsp,Yes,No,0,No,0
32,Robert,Moon,34,Other,Victorialopez@Example.Net,730.367.7180,749 Booker Glen,Ellismouth,Ontario,34838,Student,$60K–$100K,Chequing,2018-09-14,8669,20,43846,Yes,54,1,0,Weekly,Tfsa;Mortgage;Credit Card,Yes,Yes,66683,No,0
33,Morgan,Hogan,63,Male,Keithcolleen@Example.Net,297-203-7804X306,037 Brown Inlet Apt. 645,Bowersfurt,British Columbia,28787,Student,$60K–$100K,Joint,2018-11-16,4728,10,27569,No,54,2,0,Rarely,Mortgage;Rrsp;Tfsa,No,Yes,375714,Yes,81267
34,Andrew,Cohen,54,Female,Hernandezolivia@Example.Org,881-556-5206,100 Gonzales Loop,Danielleport,Quebec,14275,Unemployed,<$30K,Chequing,2018-08-01,8612,24,34724,Yes,57,3,2,Never,Tfsa,No,No,0,Yes,16847
35,Ryan,Castro,34,Female,Bmorton@Example.Org,(729)934-5927,504 Bishop Ferry Suite 913,Lisashire,Ontario,76493,Retired,>$100K,Savings,2020-06-08,5422,24,28180,No,81,2,3,Weekly,Tfsa;Mortgage,Yes,No,0,Yes,31737
36,Jennifer,Davis,38,Male,Savannahrobinson@Example.Net,(503)562-3342X2335,97924 Harrison Stravenue Apt. 550,East Curtis,Ontario,44955,Unemployed,$30K–$60K,Joint,2022-09-14,2635,17,94159,Yes,84,2,3,Rarely,Rrsp;Tfsa;Credit Card;Mortgage,No,Yes,51026,Yes,76213
37,Scott,Hall,72,Male,Fwang@Example.Net,837-425-3593,60290 Jeremy Squares Suite 989,New Elizabeth,Ontario,33124,Unemployed,>$100K,Business,2021-03-18,5766,23,60384,Yes,20,2,2,Rarely,Tfsa;Credit Card,No,No,0,Yes,37162
38,Ronald,Owens,29,Female,Elizabeth49@Example.Net,5466415763,6928 Griffin Ridge Apt. 584,Taylorstad,Ontario,3091,Unemployed,>$100K,Chequing,2025-04-03,2726,12,64434,Yes,58,3,2,Weekly,Rrsp;Tfsa;Mortgage,No,Yes,334567,Yes,66192
39,Anthony,Moore,54,Male,Mariecarroll@Example.Org,001-925-847-4068X57453,492 Gonzalez Locks,Williamsshire,Ontario,48119,Employed,>$100K,Chequing,2016-07-16,1827,83,7815,Yes,97,2,0,Weekly,Tfsa;Mortgage;Rrsp,No,Yes,361273,No,0
40,Katherine,Miranda,27,Other,Jennifer35@Example.Net,(666)782-9266,5666 Evelyn Place Suite 925,Odonnellport,Nova Scotia,60791,Unemployed,$30K–$60K,Savings,2017-12-15,4665,69,85624,No,54,4,3,Daily,Tfsa;Mortgage;Rrsp;Credit Card,Yes,No,0,No,0
41,Ruben,Rose,19,Female,Andersoneric@Example.Com,832-651-0811X379,49494 Alexandria Valley Suite 998,Wallsview,Alberta,81701,Employed,<$30K,Chequing,2022-02-18,7851,36,15046,Yes,37,1,3,Weekly,Credit Card;Tfsa;Mortgage;Rrsp,Yes,Yes,386118,No,0
42,Jennifer,Nelson,67,Female,Vmatthews@Example.Com,(980)423-9540,4763 Elizabeth Forks,North Holly,Ontario,90224,Unemployed,<$30K,Chequing,2024-09-17,4664,9,98924,Yes,85,3,3,Never,Mortgage,Yes,No,0,Yes,88263
43,Ashley,Hall,80,Female,David28@Example.Com,713.289.0216,14096 Rodriguez Orchard Apt. 906,Port Alicia,British Columbia,63890,Retired,$30K–$60K,Chequing,2018-09-13,5002,17,67912,No,74,5,0,Daily,Tfsa;Rrsp,No,No,0,No,0
44,Jeffrey,Clark,19,Female,Vasquezcatherine@Example.Net,357.281.6904X41663,5765 Brown Burgs Suite 375,Doughertyton,Quebec,49594,Employed,$30K–$60K,Chequing,2025-04-15,1662,20,55925,Yes,56,0,0,Rarely,Credit Card,Yes,No,0,No,0
45,Destiny,Guerrero,80,Other,Brian50@Example.Com,+1-790-992-4518X0377,890 Dana Squares,West Lindaburgh,Alberta,47073,Unemployed,<$30K,Savings,2023-12-21,3518,23,71057,Yes,17,3,2,Daily,Mortgage,No,Yes,406741,No,0
46,Christina,Roth,55,Female,Jessica33@Example.Org,6833899058,573 Thomas Curve,North Jerry,Ontario,94206,Student,$30K–$60K,Chequing,2016-10-02,2809,38,75325,No,60,2,1,Weekly,Credit Card;Tfsa;Rrsp;Mortgage,No,No,0,Yes,75383
47,Larry,Logan,54,Male,Jennifer84@Example.Org,+1-459-428-5007X10448,7781 Potter Rapids,Kelseyfurt,Ontario,93857,Retired,<$30K,Joint,2018-04-06,9912,50,97248,Yes,12,4,1,Rarely,Tfsa;Credit Card,Yes,No,0,No,0
48,Frank,Schmidt,28,Female,Dsmith@Example.Org,+1-475-806-8917X9213,257 Julie Spur,Nancyburgh,Ontario,68718,Retired,$30K–$60K,Chequing,2021-02-27,4776,89,93127,No,76,3,3,Never,Tfsa;Credit Card;Rrsp;Mortgage,Yes,No,0,No,0
49,Emily,Lopez,80,Other,Zpitts@Example.Org,9806584503,361 Michelle Canyon Apt. 838,East Nicholasmouth,Nova Scotia,59445,Student,<$30K,Chequing,2023-09-23,2173,47,3791,No,50,4,2,Daily,Rrsp;Credit Card;Mortgage;Tfsa,Yes,No,0,Yes,55889
50,Melissa,Flores,70,Female,Davidlynn@Example.Net,+1-463-658-5626X70917,6184 Morales Spur Apt. 059,New Andrew,Saskatchewan,64704,Unemployed,<$30K,Chequing,2024-05-03,8784,68,14450,No,38,4,1,Weekly,Credit Card;Rrsp,No,Yes,134955,Yes,79232
51,Robert,Nielsen,39,Male,Hclark@Example.Com,966-428-6996,272 Cody Port,Port Johnbury,Manitoba,98736,Retired,$60K–$100K,Savings,2023-09-06,9771,32,64433,Yes,45,4,0,Daily,Mortgage;Rrsp;Tfsa,Yes,Yes,408237,Yes,36078
52,Holly,Fuller,25,Other,Garzamatthew@Example.Net,+1-630-523-5054X8085,63844 Simmons Pass Suite 555,Brandibury,Saskatchewan,6005,Unemployed,<$30K,Chequing,2025-01-20,5246,90,55606,Yes,58,0,2,Daily,Mortgage;Rrsp,No,Yes,266911,No,0
53,Robert,Flores,46,Female,Danielsjoseph@Example.Com,(653)806-9468,170 Edwards Fork Apt. 014,Kingville,Quebec,65848,Retired,<$30K,Chequing,2016-12-19,2831,89,85371,No,47,5,2,Never,Tfsa;Mortgage;Rrsp,Yes,Yes,91826,No,0
54,Justin,Castillo,18,Female,Qstephens@Example.Com,001-695-597-2886,1206 Robyn Coves Suite 487,Christopherbury,Quebec,72558,Unemployed,<$30K,Chequing,2016-06-07,6273,47,49534,No,11,4,2,Daily,Rrsp;Credit Card;Mortgage;Tfsa,Yes,Yes,420878,No,0
55,John,Mitchell,33,Female,Reesetaylor@Example.Org,+1-937-909-6866,900 Nelson Wall,Johnsonchester,Alberta,93467,Student,>$100K,Chequing,2016-07-01,1480,10,60029,No,42,2,3,Daily,Mortgage;Rrsp;Credit Card,No,No,0,Yes,67172
56,Ronnie,Deleon,40,Female,Jason02@Example.Org,736.777.8642X91933,6355 Smith Turnpike,West Tyler,Quebec,68185,Retired,>$100K,Savings,2025-04-25,6791,66,94226,No,26,2,2,Weekly,Mortgage;Credit Card;Tfsa,No,No,0,Yes,20077
57,Ashley,Hunt,54,Male,Cdavis@Example.Net,578-523-1919X27473,5852 Charles Walks Suite 344,South Frankfurt,Saskatchewan,55449,Unemployed,<$30K,Chequing,2015-10-25,6759,52,99073,No,30,0,1,Weekly,Mortgage;Credit Card;Rrsp,No,Yes,392319,Yes,5581
58,Tina,Watkins,33,Other,Uhenderson@Example.Org,259.630.7724X61384,44017 Sutton Cove,Valdezborough,Ontario,51256,Student,<$30K,Chequing,2023-03-31,6990,23,43396,No,95,2,2,Weekly,Credit Card;Tfsa;Mortgage,Yes,Yes,106975,Yes,62106
59,Kevin,Russo,43,Male,Gramos@Example.Org,705.680.2619,779 Tara Mountains,Olsonmouth,Ontario,22008,Unemployed,<$30K,Chequing,2023-12-21,6500,68,8248,No,95,0,1,Rarely,Tfsa;Rrsp;Mortgage,Yes,No,0,No,0
60,Debra,Foster,43,Male,Mejiaryan@Example.Com,336-391-7157,13917 Calderon Trafficway Apt. 479,North Jose,Ontario,31092,Unemployed,<$30K,Chequing,2017-07-15,8066,60,82514,Yes,22,1,0,Daily,Mortgage;Rrsp,Yes,No,0,Yes,79203
61,Charles,George,20,Male,Kbaird@Example.Net,(611)583-7165X878,6973 Crystal Turnpike Suite 120,South Brittney,British Columbia,34684,Student,$60K–$100K,Chequing,2016-11-21,4436,5,18514,Yes,59,3,3,Daily,Mortgage;Credit Card;Tfsa;Rrsp,No,No,0,No,0
62,Ana,Sheppard,18,Other,Nicoleadams@Example.Com,(555)795-1462X8007,501 Foster Meadows,Rodriguezfurt,British Columbia,30664,Employed,$60K–$100K,Savings,2016-06-08,6624,61,47443,No,54,4,1,Daily,Credit Card;Mortgage;Tfsa,Yes,No,0,No,0
63,Jordan,Heath,37,Female,Ginagonzalez@Example.Net,(494)758-8675,09773 Barrett Light Apt. 116,Houseside,Alberta,33439,Student,$30K–$60K,Chequing,2018-10-11,8321,44,24762,Yes,11,1,0,Weekly,Rrsp;Credit Card;Mortgage,Yes,No,0,No,0
64,Terri,Scott,45,Male,Malloryle@Example.Com,210-510-1405X2549,136 Gloria Cliff,Port Kristinaborough,Saskatchewan,37103,Employed,>$100K,Chequing,2021-05-29,957,36,26056,Yes,92,4,2,Daily,Mortgage;Rrsp;Tfsa;Credit Card,Yes,Yes,286494,Yes,12405
65,Jennifer,Flores,34,Other,Matthewbarber@Example.Net,407.618.5204X78867,20060 Greer Dam Apt. 339,Bishopchester,Saskatchewan,91703,Employed,>$100K,Business,2021-07-05,3809,64,76510,Yes,9,3,1,Daily,Credit Card;Mortgage;Tfsa;Rrsp,Yes,Yes,107618,No,0
66,Dustin,Turner,73,Other,Mcmahondavid@Example.Org,263-267-1645,814 Hill Row,West Steven,Ontario,58314,Unemployed,$60K–$100K,Savings,2022-02-25,5741,23,92033,No,9,0,2,Weekly,Credit Card,Yes,No,0,No,0
67,Keith,Holland,62,Male,Nashmary@Example.Org,001-647-372-6421X688,540 Laura Port,Kathleenside,Alberta,29614,Employed,$60K–$100K,Savings,2023-01-23,5474,67,27044,Yes,72,2,1,Rarely,Rrsp,No,No,0,Yes,7970
68,William,Nunez,18,Female,Davidfischer@Example.Net,(949)201-7606,18697 Brown Camp,Paulton,Quebec,25344,Retired,>$100K,Savings,2025-04-29,9542,14,47811,Yes,53,1,3,Weekly,Credit Card,Yes,No,0,No,0
69,Colleen,Waters,59,Other,Gregory92@Example.Org,980.630.4791X95899,843 Wells Village,New Gavinhaven,Alberta,28582,Employed,<$30K,Chequing,2022-11-21,2230,54,99289,Yes,65,0,0,Never,Rrsp,No,No,0,Yes,16581
70,Tom,Tran,49,Female,Traci64@Example.Net,+1-930-270-0848X548,985 Steven Ford Apt. 392,Amandaborough,British Columbia,6815,Employed,$60K–$100K,Joint,2019-04-30,9793,26,68139,No,15,2,1,Weekly,Rrsp;Tfsa;Credit Card;Mortgage,Yes,Yes,378768,Yes,21272
71,Sharon,Brown,69,Female,Zbarnes@Example.Com,447.547.2938X508,51427 Joshua Land,Olsenview,Nova Scotia,31660,Retired,<$30K,Chequing,2022-06-20,5231,13,29475,No,48,4,3,Weekly,Rrsp;Tfsa;Mortgage;Credit Card,Yes,No,0,No,0
72,John,Murphy,54,Female,Michele09@Example.Net,001-227-466-8645X22778,8731 King Forges,West Sarahton,British Columbia,83089,Retired,<$30K,Savings,2022-11-24,9354,54,23227,Yes,6,5,1,Weekly,Rrsp;Mortgage;Credit Card,Yes,Yes,25857,Yes,66273
73,Kimberly,Walker,34,Other,Brandon63@Example.Org,+1-601-728-5261X272,280 David Forest Suite 769,South Oliviamouth,Ontario,76894,Student,>$100K,Chequing,2020-09-24,4860,66,80776,No,40,4,2,Weekly,Tfsa,No,Yes,354969,No,0
74,James,Nichols,35,Female,Wlee@Example.Net,9226954762,30866 Morris Square Suite 962,West Eric,Ontario,32592,Student,>$100K,Joint,2019-08-08,1174,73,71059,No,28,3,2,Weekly,Tfsa;Mortgage;Rrsp;Credit Card,No,No,0,No,0
75,Devin,Ingram,38,Female,Leelaura@Example.Com,746.326.8834X15459,022 Alicia Mountains,New Elizabethfurt,Ontario,15007,Student,<$30K,Savings,2022-07-26,4050,26,71128,Yes,12,0,1,Rarely,Credit Card,No,Yes,37894,Yes,83760
76,Raymond,Moon,19,Other,Iconner@Example.Com,802.651.1196X31637,15469 Robin Lodge Apt. 615,New Heather,Ontario,61231,Retired,<$30K,Savings,2019-09-05,9294,26,80555,Yes,0,0,2,Never,Credit Card;Tfsa;Mortgage;Rrsp,No,No,0,No,0
77,Lori,King,79,Other,Csmith@Example.Net,+1-711-472-6816X80040,1276 April Knoll Suite 997,Johnsonchester,Prince Edward Island,28624,Unemployed,>$100K,Chequing,2017-12-03,4347,80,14411,Yes,14,5,2,Weekly,Mortgage;Credit Card,Yes,Yes,333426,No,0
78,Natalie,Johnson,79,Female,Xvargas@Example.Com,7556730249,80812 Rachel Plaza Apt. 533,Wandaberg,Ontario,92378,Employed,$30K–$60K,Joint,2018-09-06,6568,19,86108,No,86,5,1,Daily,Tfsa;Mortgage;Credit Card;Rrsp,Yes,Yes,161619,Yes,39672
79,Manuel,Thornton,48,Female,Anthonyhuffman@Example.Net,001-389-913-7539X8321,82771 Daniel Highway Suite 167,Johnfurt,Quebec,60379,Retired,>$100K,Chequing,2018-12-12,3059,59,8259,Yes,83,1,3,Daily,Credit Card,No,No,0,Yes,75929
80,Andre,Chapman,34,Male,Kenneth71@Example.Net,001-423-874-7562,7319 Nelson Cliff,Dianaberg,Ontario,37942,Retired,>$100K,Chequing,2024-12-02,7840,12,37100,No,5,5,2,Daily,Rrsp;Tfsa;Credit Card,Yes,No,0,Yes,67455
81,Robert,Carney,20,Male,Luis41@Example.Org,+1-609-367-8793X1303,35629 Steven Neck Suite 026,Nunezville,New Brunswick,20604,Student,$30K–$60K,Chequing,2018-06-27,3307,69,69389,No,79,3,2,Rarely,Credit Card,No,No,0,No,0
82,Richard,Morrison,35,Female,Loganjulie@Example.Org,438-341-2383X0749,08362 David Vista,New Christopher,Ontario,60504,Employed,$30K–$60K,Chequing,2021-12-28,1708,71,29336,No,63,0,0,Weekly,Credit Card;Rrsp;Tfsa,No,No,0,No,0
83,Erik,Gonzalez,31,Other,Dwayne42@Example.Com,579.812.6448X83211,4717 Steven Drive Suite 056,Tanyachester,Ontario,35577,Employed,>$100K,Business,2015-07-14,4752,99,51485,Yes,12,1,1,Daily,Tfsa;Mortgage;Rrsp,No,Yes,250038,Yes,92429
84,Jacob,Robinson,52,Female,Richmondryan@Example.Org,649-722-3081,3408 English Village,East Cindy,British Columbia,957,Retired,<$30K,Savings,2024-08-23,2236,38,29710,Yes,12,4,0,Daily,Tfsa;Mortgage;Rrsp,No,No,0,No,0
85,Meagan,Rodriguez,64,Female,Mark59@Example.Org,001-975-709-9884X944,7518 Williams Well,Bryantown,Alberta,69326,Unemployed,$30K–$60K,Chequing,2022-12-12,3524,74,72123,No,67,0,2,Rarely,Credit Card;Rrsp,Yes,No,0,Yes,62534
86,Candace,Goodman,21,Other,Walkerjennifer@Example.Com,581.555.1759,12546 Hill Avenue Suite 243,West Catherinebury,Ontario,72161,Student,<$30K,Chequing,2024-12-01,8129,17,10553,No,51,4,3,Weekly,Mortgage;Tfsa;Credit Card,Yes,Yes,227975,No,0
87,Daniel,Scott,28,Other,Thomasellis@Example.Net,001-605-452-6904X813,0949 Henderson Ford,North Christian,Alberta,93615,Student,>$100K,Chequing,2020-11-23,3767,36,58792,Yes,75,1,2,Daily,Mortgage;Credit Card;Tfsa,No,No,0,Yes,30105
88,Rebecca,Smith,33,Male,Ffernandez@Example.Net,001-932-891-2747X69901,443 Bell Greens Apt. 111,North Melissa,Ontario,27395,Retired,>$100K,Savings,2023-07-27,764,74,86802,Yes,18,4,1,Never,Credit Card;Tfsa;Mortgage,Yes,Yes,321328,No,0
89,Linda,Reynolds,45,Other,Martinezmichael@Example.Net,639-218-3639X2483,495 Erin Extension,West Danielview,Ontario,27012,Employed,>$100K,Joint,2023-08-02,4743,19,45667,No,34,3,0,Weekly,Credit Card;Tfsa,Yes,No,0,No,0
90,Daniel,Greene,23,Male,Mcampbell@Example.Org,+1-246-867-4196X7287,3552 Dawn Groves,New Benjaminmouth,Quebec,96663,Unemployed,$60K–$100K,Joint,2019-08-03,1936,80,28203,No,16,5,3,Daily,Tfsa;Credit Card,Yes,Yes,213681,No,0
91,Lisa,Thomas,24,Female,Danielletrujillo@Example.Org,+1-841-756-4116X264,1420 William Tunnel Suite 534,Lake Robertstad,Newfoundland And Labrador,80255,Retired,>$100K,Chequing,2022-06-08,7704,71,85073,Yes,70,5,0,Never,Mortgage,No,Yes,120934,Yes,38140
92,Joshua,Jones,33,Male,Kevinodom@Example.Com,503-892-5963X57398,05850 William Manors,New Angela,Alberta,38790,Student,$60K–$100K,Chequing,2025-03-04,8561,13,23023,No,74,2,2,Never,Tfsa;Credit Card;Mortgage;Rrsp,Yes,No,0,Yes,96438
93,Michael,Miller,43,Female,Jack51@Example.Com,001-533-285-4945X85051,83139 Nancy Terrace,Lake Jameschester,Saskatchewan,80727,Unemployed,$30K–$60K,Savings,2018-04-11,4612,85,59050,Yes,6,2,1,Never,Tfsa;Rrsp;Credit Card,No,Yes,171561,Yes,83848
94,Jennifer,Kramer,22,Male,Nancy30@Example.Org,370.793.4036,42375 Barnes Creek,Port Miranda,Quebec,52890,Unemployed,<$30K,Savings,2022-12-20,8407,64,23364,Yes,61,2,3,Daily,Credit Card,No,No,0,Yes,63687
95,Emma,Thomas,55,Male,Jonathanlloyd@Example.Org,727-684-1461,51736 Blake Divide Suite 992,Chavezmouth,Quebec,70063,Unemployed,$30K–$60K,Savings,2018-08-04,8875,48,76834,Yes,64,5,0,Never,Mortgage;Tfsa;Credit Card;Rrsp,No,No,0,Yes,98079
96,Michelle,Mendoza,24,Other,Scottwhite@Example.Org,001-231-928-5716,8953 Randolph Ports,Holtton,British Columbia,6464,Unemployed,$60K–$100K,Business,2024-12-12,1839,28,74826,No,90,0,1,Rarely,Rrsp;Credit Card;Mortgage,No,Yes,402486,Yes,25999
